Time,Block Height,Hook Load,WOB,Torque,Flow In,Pump Pressure,RPM,ROP,Evento
2014-01-13 05:03:09,8.69628028015262,47.8620205612741,16.26162502319718,0.6252733284179679,0.0,0.0,10.042456239658303,1.8323939496495576,Evento 8
2014-01-13 05:03:12,8.759821047843445,47.81758593702338,13.734647393980088,0.6113173780866581,0.0,0.0,9.987273842982749,1.8308068546063427,Evento 8
2014-01-13 05:03:15,8.80213971531421,47.793071402388186,11.206509424071815,0.5987627369860844,0.0,0.0,9.87792854297814,1.829291638362585,Evento 8
2014-01-13 05:03:18,8.829580099138177,47.795017725293874,9.038046360924572,0.5876499644176736,0.0,0.0,9.710851615102001,1.8276834024960003,Evento 8
2014-01-13 05:03:21,8.84468079329847,47.84940384245299,7.582152364287936,0.57799739799741,0.0,0.0,9.489084652625793,1.8277294012105851,Evento 8
2014-01-13 05:03:24,8.850778317813916,47.94121916059798,6.506820164778093,0.5698011536558348,0.0,0.0,9.222279566634874,1.828050741725805,Evento 8
2014-01-13 05:03:27,8.854106034143186,48.01676106056557,5.636369659458351,0.5630351256380461,0.0,0.0,8.92669858602857,1.828865104827345,Evento 8
2014-01-13 05:03:30,8.86708447274505,48.05486654632496,4.9514882227952555,0.5576509865037002,0.0,0.0,8.649736035406582,1.8259662565415504,Evento 8
2014-01-13 05:03:33,8.913676910588643,48.06623220219123,4.435849656967944,0.5535781871270101,0.0,0.0,8.550174163025327,1.8246940900715214,Evento 8
2014-01-13 05:03:36,8.971641862154744,48.059466967234144,4.080770954935695,0.5508105188660257,0.0,0.0,8.57699092564634,1.8217952417857266,Evento 8
2014-01-13 05:03:39,9.006056542818222,48.05119660164746,3.8712059992191845,0.5490973515181634,0.0,0.0,8.58897703443708,1.8187641588113368,Evento 8
2014-01-13 05:03:42,9.015431365023028,48.0801273407574,3.778545831343508,0.5481057449074711,0.0,0.0,8.577778430784557,1.822128105211266,Evento 8
2014-01-13 05:03:45,9.00909836260214,48.162480521179766,3.76134750283144,0.5482893098172273,0.0,0.0,8.521107548000526,1.8234483147831935,Evento 8
2014-01-13 05:03:48,8.989055535697958,48.26410774814367,3.783927496200407,0.5508028464379401,0.0,0.0,8.380457057571121,1.8247008737203383,Evento 8
2014-01-13 05:03:51,8.956674187610542,48.35907360024782,3.8381438343623,0.5509781374826164,0.0,0.0,8.20116124545527,1.824700873720338,Evento 8
2014-01-13 05:03:54,8.908447992398091,48.453929669135775,3.9221438346029407,0.5501421511122162,0.0,0.0,8.093351674759651,1.8260802775977012,Evento 8
2014-01-13 05:03:57,8.829002860388904,48.54584980705364,4.0170373291652215,0.5503463231238757,0.0,0.0,8.079672671808607,1.8273624336875638,Evento 8
2014-01-13 05:04:00,8.705532162730721,48.61594262280751,4.098347522847584,0.5518427275079885,0.0,0.0,8.128920148748325,1.8286741869301437,Evento 8
2014-01-13 05:04:03,8.534838186856014,48.657043291086715,4.157903781515308,0.553700243499362,0.0,0.0,8.21486237322215,1.8331384783389553,Evento 8
2014-01-13 05:04:06,8.330241294444884,48.67237888854753,4.195842230604632,0.5554855415020142,0.0,0.0,8.303373748051513,1.8320254488360508,Evento 8
2014-01-13 05:04:09,8.139225689500897,48.662228953963776,4.210435841288168,0.5571534306793388,0.0,0.0,8.379766508127364,1.8340565011700298,Evento 8
